Running on host b0001

================================================================================
HPL-NVIDIA 25.9.0  -- NVIDIA accelerated HPL benchmark -- NVIDIA
================================================================================
HPLinpack 2.1  --  High-Performance Linpack benchmark  --   October 26, 2012
Written by A. Petitet and R. Clint Whaley,  Innovative Computing Laboratory, UTK
Modified by Piotr Luszczek, Innovative Computing Laboratory, UTK
Modified by Julien Langou, University of Colorado Denver
================================================================================

An explanation of the input/output parameters follows:
T/V    : Wall time / encoded variant.
N      : The order of the coefficient matrix A.
NB     : The partitioning blocking factor.
P      : The number of process rows.
Q      : The number of process columns.
Time   : Time in seconds to solve the linear system.
Gflops : Rate of execution for solving the linear system.

The following parameter values will be used:

N      :  401408 
NB     :    2048 
PMAP   : Column-major process mapping
P      :       4 
Q      :       2 
PFACT  :    Left 
NBMIN  :       2 
NDIV   :       2 
RFACT  :    Left 
BCAST  :  2ringM 
DEPTH  :       1 
SWAP   : Spread-roll (long)
L1     : no-transposed form
U      : transposed form
EQUIL  : no
ALIGN  : 8 double precision words

--------------------------------------------------------------------------------

- The matrix A is randomly generated for each test.
- The following scaled residual check will be computed:
      ||Ax-b||_oo / ( eps * ( || x ||_oo * || A ||_oo + || b ||_oo ) * N )
- The relative machine precision (eps) is taken to be               1.110223e-16
- Computational tests pass if scaled residuals are less than                16.0


HPL-NVIDIA ignores the following parameters from input file:
	* Broadcast parameters
	* Panel factorization parameters
	* Look-ahead value
	* L1 layout
	* U layout
	* Equilibration parameter
	* Memory alignment parameter

HPL-NVIDIA settings from environment variables:
	HPL_USE_NVSHMEM from environment 0 
	HPL_CUSOLVER_MP_TESTS from environment 0 
[WARNING]: HPL_USE_NVSHMEM is disabled, HPL_FCT_COMM_POLICY=1 will be used
--- DEVICE INFO ---
  Peak clock frequency: 1965 MHz
  SM version          : 100
  Number of SMs       : 148
-------------------
[HPL TRACE] cuda_nvshmem_init: max=0.0000 (5) min=0.0000 (0)
[HPL TRACE] ncclCommInitRank: max=5.8894 (4) min=5.8667 (6)
[HPL TRACE] cugetrfs_mp_init: max=5.8976 (4) min=5.8963 (6)
--- MEMORY INFO ---
DEVICE
  System           =      5.12358 GiB (MIN)      5.59233 GiB (MAX)      5.49858 GiB (AVG)
  HPL buffers      =    159.76379 GiB (MIN)    159.76379 GiB (MAX)    159.76379 GiB (AVG)
  Used             =    164.88737 GiB (MIN)    165.35612 GiB (MAX)    165.26237 GiB (AVG)
  Total            =    179.06152 GiB (MIN)    179.06152 GiB (MAX)    179.06152 GiB (AVG)
HOST
  HPL buffers      =      0.00090 GiB (MIN)      0.00090 GiB (MAX)      0.00090 GiB (AVG)
-------------------
[HPL TRACE] HPL_pdmatgen_gpu: max=0.0316 (0) min=0.0316 (1)
[0;31m Prog= 1.52%	N_left=   399360	Time=   2.49	Time_left= 160.71	iGF= 264220.97	GF= 264220.97	iGF_per= 33027.62 	GF_per= 33027.62[0m
[0;31m Prog= 3.03%	N_left=   397312	Time=   4.78	Time_left= 152.86	iGF= 283625.85	GF= 273530.06	iGF_per= 35453.23 	GF_per= 34191.26[0m
[0;31m Prog= 4.52%	N_left=   395264	Time=   7.06	Time_left= 149.04	iGF= 281849.89	GF= 276220.02	iGF_per= 35231.24 	GF_per= 34527.50[0m
[0;31m Prog= 6.00%	N_left=   393216	Time=   9.31	Time_left= 145.87	iGF= 282995.56	GF= 277857.47	iGF_per= 35374.44 	GF_per= 34732.18[0m
[0;31m Prog= 7.46%	N_left=   391168	Time=  11.50	Time_left= 142.71	iGF= 287039.11	GF= 279609.39	iGF_per= 35879.89 	GF_per= 34951.17[0m
[0;31m Prog= 8.91%	N_left=   389120	Time=  13.70	Time_left= 140.17	iGF= 283459.04	GF= 280227.31	iGF_per= 35432.38 	GF_per= 35028.41[0m
[0;31m Prog= 10.34%	N_left=   387072	Time=  15.90	Time_left= 137.89	iGF= 281336.44	GF= 280380.32	iGF_per= 35167.06 	GF_per= 35047.54[0m
[0;31m Prog= 11.75%	N_left=   385024	Time=  18.05	Time_left= 135.58	iGF= 282706.85	GF= 280658.56	iGF_per= 35338.36 	GF_per= 35082.32[0m
[0;31m Prog= 13.15%	N_left=   382976	Time=  20.16	Time_left= 133.13	iGF= 286613.14	GF= 281280.91	iGF_per= 35826.64 	GF_per= 35160.11[0m
[0;31m Prog= 14.54%	N_left=   380928	Time=  22.27	Time_left= 130.92	iGF= 283201.08	GF= 281462.82	iGF_per= 35400.13 	GF_per= 35182.85[0m
[0;31m Prog= 15.91%	N_left=   378880	Time=  24.38	Time_left= 128.84	iGF= 281099.05	GF= 281431.44	iGF_per= 35137.38 	GF_per= 35178.93[0m
[0;31m Prog= 17.27%	N_left=   376832	Time=  26.45	Time_left= 126.73	iGF= 282352.33	GF= 281503.56	iGF_per= 35294.04 	GF_per= 35187.94[0m
[0;31m Prog= 18.61%	N_left=   374784	Time=  28.47	Time_left= 124.52	iGF= 286489.87	GF= 281857.26	iGF_per= 35811.23 	GF_per= 35232.16[0m
[0;31m Prog= 19.93%	N_left=   372736	Time=  30.49	Time_left= 122.45	iGF= 282998.40	GF= 281932.94	iGF_per= 35374.80 	GF_per= 35241.62[0m
[0;31m Prog= 21.25%	N_left=   370688	Time=  32.50	Time_left= 120.47	iGF= 280835.78	GF= 281864.92	iGF_per= 35104.47 	GF_per= 35233.11[0m
[0;31m Prog= 22.55%	N_left=   368640	Time=  34.49	Time_left= 118.48	iGF= 282378.69	GF= 281894.45	iGF_per= 35297.34 	GF_per= 35236.81[0m
[0;31m Prog= 23.83%	N_left=   366592	Time=  36.42	Time_left= 116.42	iGF= 286244.58	GF= 282125.44	iGF_per= 35780.57 	GF_per= 35265.68[0m
[0;31m Prog= 25.10%	N_left=   364544	Time=  38.35	Time_left= 114.46	iGF= 283024.10	GF= 282170.75	iGF_per= 35378.01 	GF_per= 35271.34[0m
[0;31m Prog= 26.35%	N_left=   362496	Time=  40.28	Time_left= 112.57	iGF= 280400.43	GF= 282085.92	iGF_per= 35050.05 	GF_per= 35260.74[0m
[0;31m Prog= 27.59%	N_left=   360448	Time=  42.18	Time_left= 110.68	iGF= 281819.59	GF= 282073.93	iGF_per= 35227.45 	GF_per= 35259.24[0m
[0;31m Prog= 28.82%	N_left=   358400	Time=  44.03	Time_left= 108.74	iGF= 285931.73	GF= 282236.06	iGF_per= 35741.47 	GF_per= 35279.51[0m
[0;31m Prog= 30.04%	N_left=   356352	Time=  45.88	Time_left= 106.88	iGF= 282692.08	GF= 282254.46	iGF_per= 35336.51 	GF_per= 35281.81[0m
[0;31m Prog= 31.23%	N_left=   354304	Time=  47.73	Time_left= 105.08	iGF= 279969.00	GF= 282166.01	iGF_per= 34996.13 	GF_per= 35270.75[0m
[0;31m Prog= 32.42%	N_left=   352256	Time=  49.55	Time_left= 103.28	iGF= 281508.10	GF= 282141.90	iGF_per= 35188.51 	GF_per= 35267.74[0m
[0;31m Prog= 33.59%	N_left=   350208	Time=  51.32	Time_left= 101.44	iGF= 285745.11	GF= 282266.07	iGF_per= 35718.14 	GF_per= 35283.26[0m
[0;31m Prog= 34.75%	N_left=   348160	Time=  53.08	Time_left=  99.67	iGF= 282638.55	GF= 282278.46	iGF_per= 35329.82 	GF_per= 35284.81[0m
[0;31m Prog= 35.90%	N_left=   346112	Time=  54.85	Time_left=  97.95	iGF= 279719.97	GF= 282196.15	iGF_per= 34965.00 	GF_per= 35274.52[0m
[0;31m Prog= 37.03%	N_left=   344064	Time=  56.58	Time_left=  96.23	iGF= 281216.48	GF= 282166.12	iGF_per= 35152.06 	GF_per= 35270.76[0m
[0;31m Prog= 38.14%	N_left=   342016	Time=  58.27	Time_left=  94.49	iGF= 285639.35	GF= 282266.70	iGF_per= 35704.92 	GF_per= 35283.34[0m
[0;31m Prog= 39.25%	N_left=   339968	Time=  59.95	Time_left=  92.80	iGF= 282428.52	GF= 282271.26	iGF_per= 35303.57 	GF_per= 35283.91[0m
